id	title	abstract	year	journal	citations
0	Optimized control of price-based demand response with electric storage space heating	The increased uncertainty of the electric grid due to the penetration of renewable energy sources and deregulation of the electric market is aimed to be alleviated by demand response (DR) in the future smart grid. The demand-side resources can be incentivized to alter their consumption patterns by varying their electricity price over time. A major residential energy demand contribution is from electric heating, which, when combined with smart energy storage using water heaters, could be utilized to defer consumption to more inexpensive periods without affecting the customer's thermal quality of service. The objective is to optimize the consumer electricity price of electric storage space heating customers, in order to maximize the profit of the retailer. This approach of varying the customer electricity prices leads to a game-theoretic scenario, where the procurement and consumption profiles of the retailer and consumer agents are based on the set electricity price. The optimization of the consumer electricity price is shown to offer lesser expense for the retailer. In addition, hourly load-following can be improved by offering further discounts for the consumers. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	68
1	A model for wind turbines placement within a distribution network acquisition market	This paper proposes an innovative exhaustive search method for the optimal placement of wind turbines (WTs) in electrical distribution systems taking into account wind speed and load demand uncertainty, and the variability of electrical energy prices within a distribution network operator (DNO) acquisition market environment. The method combines Monte Carlo simulation (MCS) and market-based optimal power flow (OPF) to maximize the net present value (NPV) related to the investment made by WTs' developers over a planning horizon. In particular, the MCS data feed the market-based OPF problem with inter-temporal constraints in order to find the most convenient WTs allocation and priority on the network, based on distribution-locational marginal prices (D-LMPs) in a competitive electricity market. The effectiveness of the proposed method is demonstrated with an 84-bus 11.4-kV radial distribution system. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	30
2	A self-organizing architecture for decentralized smart microgrids synchronization, control, and monitoring	The concept of smart microgrid (SMG) is widely recognized as one of the most promising and enabling technologies for smart grids. In this context, the development of integrated and decentralized frameworks for executing complex control and monitoring applications is still in its infancy and needs to be researched. To address this issue, this paper conceptualizes a self-organizing computing framework, based on self-organizing agents, for solving the fundamental control and monitoring problems of an SMG without the need for centralized data acquisition and processing. Simulation results obtained for an 18-bus test network are presented and discussed in order to demonstrate the significance and validity of the proposed new framework. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	71
3	Heuristic-based shiftable loads optimal management in smart micro-grids	In this paper, an optimal power dispatch problem on a 24-h basis for distribution systems with distributed energy resources (DER) also including directly controlled shiftable loads is presented. In the literature, the optimal energy management problems in smart grids (SGs) where such types of loads exist are formulated using integer or mixed integer variables. In this paper, a new formulation of shiftable loads is employed. Such formulation allows reduction in the number of optimization variables and the adoption of real valued optimization methods such as the one proposed in this paper. The method applied is a novel nature-inspired multiobjective optimization algorithm based on an original extension of a glowworm swarm particles optimization algorithm, with algorithmic enhancements to treat multiple objective formulations. The performance of the algorithm is compared to the NSGA-II on the considered power systems application. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	137
4	Nonintrusive load monitoring: A temporal multilabel classification approach	The article tackles the issues related to the identification of electrical appliances inside residential buildings. Each appliance can be identified from the aggregate power readings at the meter panel. The possibility of applying a temporal multilabel classification approach in the domain of nonintrusive load monitoring is explored (nonevent-based method). A novel set of metafeatures is proposed. The method is tested on sampling rates based on the capabilities of current smart meters. The proposed approach is validated over a dataset of energy readings at residences for a period of a year for 100 houses containing different sets of appliances (water heater, washing machines, etc.). This method is applicable for the demand side management of households in the current limitation of smart meters; from the inhabitants or from the grid operator's point of view. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	133
5	Utility function-based real-time control of a battery-ultracapacitor hybrid energy system	This paper discusses a utility function-based control of a battery-ultracapacitor (UC) hybrid energy system. The example system employs the battery semiactive topology. In order to represent different performance and requirements of the battery and UC packs, the two packs are modeled as two independent but related agents using the NetLogo environment. Utility functions are designed to describe the respective preferences of battery and UC packs. Then, the control problem is converted to a multiobjective optimization problem solved by using the Karush-Kuhn-Tucker (KKT) conditions. The weights in the objective functions are chosen based on the location of the knee point in the Pareto set. Both the simulation and experimental results show the utility function-based control provides a comparable performance with the ideal average load demand (ALD)-based control, while the exact preknowledge of the future load demand is not required. The utility function-based control is fast enough to be directly implemented in real time. The discussion in this paper gives a starting point and initial results for dealing with more complex hybrid energy systems. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	56
6	Decision trees-aided active power reduction of a virtual power plant for power system over-frequency mitigation	The incorporation of distributed generation (DG) under the virtual power plant (VPP) paradigm allows the coherent central control, and the coordinated market integration of several and widely dispersed electric power sources. That way, VPPs can participate in frequency control by regulating in a coordinated manner their output power for the sake of system stability. This study analyzes a decision tree (DT)-based methodology that dispatches a requested reduction of active power within a VPP (among the sources it consists of), so as to support the mitigation of over-frequency. The presented control con-cept finds its application concerning grid support in case of over-frequency, and is also meant as a response to related reports and studies asking for the increased contribution of DG to overcome such phenomena. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	45
7	Spatial-temporal solar power forecasting for smart grids	The solar power penetration in distribution grids is growing fast during the last years, particularly at the low-voltage (LV) level, which introduces new challenges when operating distribution grids. Across the world, distribution system operators (DSO) are developing the smart grid concept, and one key tool for this new paradigm is solar power forecasting. This paper presents a new spatial-temporal forecasting method based on the vector autoregression framework, which combines observations of solar generation collected by smart meters and distribution transformer controllers. The scope is 6-h-ahead forecasts at the residential solar photovoltaic and medium-voltage (MV)/LV substation levels. This framework has been tested in the smart grid pilot of Évora, Portugal, and using data from 44 microgeneration units and 10 MV/LV substations. A benchmark comparison was made with the autoregressive forecasting model (AR - univariate model) leading to an improvement on average between 8% and 10%. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	120
8	Fast prediction for sparse time series: Demand forecast of EV charging stations for cell phone applications	This paper proposes a new cellphone application algorithm which has been implemented for the prediction of energy consumption at electric vehicle (EV) charging stations at the University of California, Los Angeles (UCLA). For this interactive user application, the total time for accessing the database, processing the data, and making the prediction needs to be within a few seconds. We first analyze three relatively fast machine learning-based time series prediction algorithms and find that the nearest neighbor (NN) algorithm (k NN with k = 1) shows better accuracy. Considering the sparseness of the time series of the charging records, we then discuss the new algorithm based on the new proposed time-weighted dot product (TWDP) dissimilarity measure to improve the accuracy and processing time. Two applications have been designed on top of the proposed prediction algorithm: one predicts the expected available energy at the outlet and the other one predicts the expected charging finishing time. The total time, including accessing the database, data processing, and prediction is approximately 1 s for both applications. The granularity of the prediction is 1 h and the horizon is 24 h; data have been collected from 20 EV charging outlets. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	64
9	Implementation of Evolutionary Fuzzy PID Speed Controller for PM Synchronous Motor	We develop an evolutionary fuzzy proportional-integral-derivative (PID) controller for a permanent magnet synchronous motor (PMSM). We first consider a fuzzy PID control design problem based on the common control engineering knowledge that good transient performances can be obtained by increasing the P and I gains and decreasing the D gain when the transient error is big. Then we give an evolutionary algorithm (EA) to autotune the control parameters of the fuzzy PID controller. We implement the proposed EA-based fuzzy PID control controller in real time on a Texas Instruments TMS320F28335 floating-point DSP. We also give simulation and experimental results to show the effectiveness of the proposed intelligent digital control system under abrupt load torque variation using a prototype PMSM. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	86
