id	term	label
0	24-h dietary recall | (24HR)	keyword
1	3-D user interface | (3DUI)	keyword
2	6th generation | (6G)	keyword
3	attention-based deep gated recurrent neural network | (A-DGRNN)	postponed
4	access hub | (A-Hub)	keyword
5	adaptive notch filter | (AANF)	keyword
6	artificial bee colony | (ABC)	keyword
7	attribute-based encryption | (ABE)	keyword
8	attribute-based signature | (ABS)	keyword
9	air conditioning | (AC)	keyword
10	access control chaincode | (ACC)	keyword
11	acknowledgment | (ACK)	keyword
12	acknowledgements | (ACKs)	keyword
13	ant colony optimization | (ACO)	keyword
14	annual crop planning | (ACP)	keyword
15	automotive cyber-physical systems | (ACPS)	keyword
16	ant colony system | (ACS)	keyword
17	Alzheimer's disease | (AD)	keyword
18	adaptive differential evolution | (ADE)	keyword
19	average dwell-time | (ADT)	keyword
20	Autoencoder | (AE)	keyword
21	and-forward | (AF)	noise
22	adaptive fog configuration | (AFC)	keyword
23	anomaly feature detection module | (AFDM)	keyword
24	anomaly feature-editing-based adversarial network | (AFEAN)	keyword
25	adaptive frequency estimation observer | (AFEO)	keyword
26	adaptive fast nonsingular integral terminal sliding mode control | (AFNITSMC)	keyword
27	adaptive full-order observer | (AFO)	keyword
28	algorithmically generated domains | (AGDs)	keyword
29	air-ground integrated power Internet of Things | (AGI-PIoT)	keyword
30	asymmetric group key agreement | (AGKA)	keyword
31	Automatic gesture recognition | (AGR)	keyword
32	automated guided vehicles | (AGVs)	keyword
33	air-handling unit | (AHU)	keyword
34	artificial intelligence | (AI)	keyword
35	automatic identification system | (AIS)	keyword
36	adaptive intelligence technique | (AIT)	keyword
37	artificial intelligence-based UAV-borne secure communication with classification | (AIUAV-SCC)	keyword
38	artificial IoT | (AIoT)	keyword
39	artificial Intelligence of Things | (AIoTs)	keyword
40	authenticated key agreement | (AKA)	keyword
41	and key exchange | (AKE)	keyword
42	active load component | (ALC)	keyword
43	average load demand | (ALD)	keyword
44	adaptive learning hybrid model | (ALHM)	keyword
45	Association link network | (ALN)	keyword
46	augmented multicenter graph convolutional network | (AM-GCN)	keyword
47	automatic metering infrastructure | (AMI)	keyword
48	AutomationML | (AML)	keyword
49	abnormal model recognition | (AMR)	keyword
50	autonomous mobility-on-demand | (AMoD)	keyword
51	and selection function | (ANDSF)	keyword
52	adaptive neuro-fuzzy inference system | (ANFIS)	keyword
53	ANFIS-based PID control scheme | (ANFISPID)	keyword
54	adaptive nonsingular integral terminal sliding mode control | (ANITSMC)	keyword
55	anisotropic nonlocal structure tensor | (ANLST)	keyword
56	artificial neural network | (ANN)	keyword
57	AND/OR graphs | (AOGs)	keyword
58	areas of interest | (AOIs)	keyword
59	access point | (AP)	keyword
60	active power curtailment | (APC)	keyword
61	artificial potential field | (APF)	keyword
62	application programming interface | (API)	keyword
63	application programming interfaces | (APIs)	keyword
64	automatic packing mechanism | (APM)	keyword
65	amplitude polynomial principle component regression | (APPCR)	keyword
66	amplitude polynomial regression | (APR)	keyword
67	accelerated particle swarm optimization | (APSO)	keyword
68	access points | (APs)	keyword
69	augmented reality | (AR)	keyword
70	and residual refinement network | (AR-Net)	keyword
71	adversarial regressive domain adaptation | (ARDA)	keyword
72	autoregressive integrated moving average | (ARIMA)	keyword
73	autoregressive moving average | (ARMA)	keyword
74	ancillary service | (AS)	keyword
75	and-sanitizable chameleon signature | (ASCS)	keyword
76	autonomic service management | (ASM)	keyword
77	adaptive sliding-mode observer | (ASMO)	keyword
78	augmented sliding mode observers | (ASMOs)	keyword
79	achievable sum-rate | (ASR)	keyword
80	attention-based spatial-temporal graph neural networks | (ASTGNN)	keyword
81	abstract syntax trees | (ASTs)	keyword
82	active time-based | (ATB)	keyword
83	area under curve | (AUC)	keyword
84	AUTomotive Open System ARchitecture | (AUTOSAR)	keyword
85	autonomous underwater vehicles | (AUVs)	keyword
86	Audio Video Bridging | (AVB)	keyword
87	autonomous vehicles | (AVs)	keyword
88	adaptive weighted Gath–Geva | (AWGG)	keyword
89	air (function) computation | (AirComp)	keyword
90	age-of-information | (AoI)	keyword
91	automated machine learning | (AutoML)	keyword
92	based accountable and privacy-preserving industrial mortgage scheme | (BAPIM)	keyword
93	batched sparse | (BATS)	keyword
94	basic belief assignment | (BBA)	keyword
95	best behavioral scheme | (BBS)	keyword
96	based secure key management scheme | (BC-EKM)	keyword
97	beneficial correlated regularization | (BCR)	keyword
98	big data | (BD)	keyword
99	based double auction | (BDA)	keyword
100	binary decision diagram | (BDD)	keyword
101	brushless doubly fed induction generator | (BDFIG)	keyword
102	bilinear Diffie-Hellman exponent | (BDHE)	keyword
103	Bayesian deep learning | (BDL)	keyword
104	brain emotional nesting network | (BENN)	keyword
105	bit-error-rate | (BER)	keyword
106	bidirectional encoder representations from transformers | (BERT)	keyword
