id	term	count
0	and	8283
1	of	7937
2	a	6707
3	to	6562
4	in	5100
5	is	4121
6	on	1826
7	data	1744
8	proposed	1730
9	by	1523
10	system	1468
11	model	1201
12	2005-2012	1187
13	network	1175
14	method	1114
15	based	1008
16	algorithm	885
17	article	810
18	performance	737
19	scheme	709
20	ha	659
21	industrial	657
22	problem	655
23	application	614
24	energy	597
25	device	576
26	approach	560
27	security	515
28	IIoT	511
29	however	505
30	time	475
31	communication	467
32	propose	467
33	service	463
34	power	450
35	IoT	448
36	framework	431
37	process	427
38	feature	416
39	used	404
40	analysis	403
41	different	398
42	detection	396
43	simulation	384
44	first	372
45	user	365
46	at	363
47	task	357
48	privacy	356
49	accuracy	354
50	technology	351
51	smart	347
52	technique	345
53	attack	336
54	more	334
55	dynamic	331
56	solution	329
57	node	328
58	efficiency	323
59	strategy	320
60	novel	317
61	experiment	311
62	experimental	309
63	optimization	308
64	existing	308
65	cost	304
66	sensor	298
67	cloud	296
68	high	295
69	real-time	293
70	industry	289
71	optimal	285
72	environment	284
73	improve	281
74	computing	279
75	distributed	279
76	design	276
77	challenge	272
78	not	269
79	compared	268
80	prediction	266
81	transmission	262
82	edge	261
83	issue	259
84	due	258
85	s	258
86	mechanism	258
87	demonstrate	254
88	study	251
89	efficient	247
90	image	246
91	operation	243
92	various	241
93	architecture	240
94	intelligent	238
95	finally	236
96	use	232
97	effectiveness	231
98	developed	230
99	multiple	229
100	provide	229
101	blockchain	229
102	key	228
103	fault	221
104	monitoring	220
105	proposes	217
106	load	217
107	wireless	216
108	learning	216
109	designed	214
110	requirement	212
111	traffic	212
112	achieve	207
113	signal	206
114	secure	205
115	parameter	203
116	consumption	201
117	number	198
118	term	197
119	well	196
120	scheduling	196
121	current	192
122	e	192
123	rate	187
124	vehicle	187
125	order	186
126	distribution	185
127	address	184
128	delay	182
129	estimation	182
130	only	181
131	protocol	181
132	reduce	179
133	case	177
134	important	177
135	access	175
136	scenario	173
137	channel	173
138	management	172
139	computation	172
140	development	170
141	among	170
142	mobile	170
143	real	169
